company,rating,text,date,city,contributor_id,reviews,sentiment_score,sentiment_label
Tatvasoft,5,"1. TatvaSoft is located near Rajpath club, also near the famous ISKCON temple, Ahmedabad, Gujarat, India.
2. TatvaSoft is an offshore software development company.
3. It is a Microsoft Solutions Partner company which mainly focuses on delivering advanced IT outsourcing services to almost all countries and businesses irrespective of size of company.
4.It provides services using numerous software development technologies like .NET, Java, Angular, React, SharePoint, PHP etc.",8 months ago,Ahmehdabad,108172240814447669872,278,0.6369,positive
Tatvasoft,4,"Awesome infrastructure with huge space for everything
Issue is, Ementies like Keyboard and Mouse were not working properly
Also IT should have 2 monitor accessibility for working fast",3 years ago,Ahmehdabad,115300836027472057863,119,0.836,positive
Tatvasoft,5,Amazing session hosted by Tatvasoft . We learn about the AWS and it’s implementation in beginner level.,a year ago,Ahmehdabad,105662414124432770961,26,0.5859,positive
Tatvasoft,5,"I have been associated with this company for the past two years and I can say that the overall experience has been really good. Things like flexibility and a good working environment matter for employee well-being, and this company provides and takes care of all of these aspects.",a year ago,Ahmehdabad,113399995022047811734,40,0.9306,positive
Tatvasoft,5,"It's been more than one and half years here for me and I can say this is the best Place to Work. Work culture is awesome. Everyone is supportive. Company provides good learning opportunities, and excellent project exposure.",2 years ago,Ahmehdabad,113063442345028420962,1,0.9623,positive
Tatvasoft,5,"This is the finest company I've ever worked for due to its incredible culture, the colleagues, and the possibilities. TatvaSoft cares deeply about its employees and gives them opportunities to grow both personally and professionally. I'm glad to be working here.",a year ago,Ahmehdabad,115300424180197882668,1,0.8225,positive
Tatvasoft,1,"Very annoying Sales Process. Somehow they got my email address and have been bombarding our company with annoying sales emails ever since. Not only are cold emails super unprofessional, but also illegal in Switzerland without the explicit consent of an email signup. Can't recommend this company to anyone!",a year ago,Ahmehdabad,100705428976889010949,6,-0.9109,negative
Tatvasoft,5,"Big infrastructure:5 storeyed build with 2 floor of basements for parking
Work: Nice company to start your career as they train you from very beginning.
Environment: Work culture is friendly and seniors are always helpful.",4 years ago,Ahmehdabad,116131466938851487662,106,0.8316,positive
Simform,5,"The staff were cool, had a great ambience, i had visited the 6 th floor's cafeteria which also has some indoor games like snooker carrom etc, and also has a mini golf",8 months ago,Ahmehdabad,104444593227543305506,21,0.836,positive
Simform,5,I have done training here for 6 months then got onboarded successfully. It's just amazing company to start your career with. I learned a lot in these 6 months . Mentors are very supportive throughout the training program. Amazing food and snacks in the canteen.,a year ago,Ahmehdabad,102453826450079319374,12,0.923,positive
Simform,1,"HR should value candidate's time, I had reached the CTO round and given it nicely and later I got an email saying  ""we do not have enough openings, unfortunately"". They should at least consider a candidates's wish to learn something new",a year ago,Ahmehdabad,113696986155227823186,4,0.8126,positive
Simform,5,"Joining Simform has been a transformative journey for me. While I had a theoretical understanding of what a Customer Success Manager entails, it was the practical experience gained here that truly shaped my perspective. Under the mentorship of Laxit and Dhvanil, I learned a fundamental lesson that has been instrumental in my growth: ""Never Assume"" and ""When in doubt, always ask.""

This mantra has not only guided me in my role but has become a philosophy that I carry with me in every aspect of my professional life. Simform's culture of learning and collaboration fosters an environment where asking questions is not only encouraged but celebrated. It's this commitment to continuous improvement that sets Simform apart.

I am proud to be a part of the Simform, where growth and development are not just words but a lived reality. If you're looking for a company that prioritizes learning, collaboration, and personal growth, look no further than Simform.

Thank you, Simform, for providing me with an enriching experience and for equipping me with the skills and mindset to thrive in my role. I look forward to continuing this journey of growth and success together.",9 months ago,Ahmehdabad,108466752877242081600,100,0.9889,positive
Simform,5,Best place to work. They value your efforts and dedication. The management is very down to earth and they believe in mentoring,a year ago,Ahmehdabad,102372664599206184801,3,0.765,positive
Simform,1,"HR should have proper communication skills understanding of what they are hiring.
I have cleared the rounds and at the end they conclude with online test for remote job hiring
Once i said the link showing test is completed and requested another link she said we can't proceed now
What is this ?
You don't value candidates time, how you will be valued?",a year ago,Ahmehdabad,100808881748908839562,14,0.3867,positive
Simform,5,Great place to work where talent is appreciated. Lunch service is good and has better working environment.,11 months ago,Ahmehdabad,111950565295390258442,58,0.9432,positive
Simform,1,"HR should have proper understanding of what they are hiring.
I have cleared the rounds and at the end they conclude with
We are looking for more experienced person.
What is this ?
You don't value candidates time, how you will be valued?",2 years ago,Ahmehdabad,117274051010455255927,33,0.3867,positive
Cybage Software,5,One of the best IT services company in Ahmedabad Gandhinagar area. Great work life balance and interesting technology projects. The managers are friendly and act as mentors. Good emphasis on training and up skilling.,2 years ago,Ahmehdabad,117232220424893363014,213,0.9524,positive
Cybage Software,4,It's in tower 2 second floor,7 months ago,Ahmehdabad,117410857792875719923,15,0.0,neutral
Cybage Software,4,Working here since 2022. It’s a good place for IT professionals. Really cool place with greenery. They have Table tennis & Pool table too. Also HRs here organises different kinds of activities & Games competition for employees. Also NGO visits & Charity events too. Only issue I face here is about parking. You will know when you ever visit infocity.,a year ago,Ahmehdabad,113696966104115998969,50,0.807,positive
Cybage Software,3,Place to work who want work life balance. Good Work culture. HR events is not included  in your job time you need to spend separate time for it not office time. Lunch time is also out of you office time. It is looking like they dont trust their employee at all. Just one good point is flexible time which is now days many organization is providing,6 years ago,Ahmehdabad,103090502593222213605,28,0.7781,positive
Cybage Software,1,Average MNC having many non technical employee with horrible management works as slow as government employees. People which are  technically good won't stay for longer (2-3 yr max) while only localities stays for longer (5 yr more) with low package as per industrial standard and some without promotion too.,6 years ago,Ahmehdabad,101960199065175618676,78,-0.4019,negative
Cybage Software,5,It is a software developing company which develop software as per order from the other firm.and almost 300 peoples are working their and its a very good company i have ever seen.and they also run one charitable trust which name is khushboo cheritable trust and they provide scholarship for higher studies of the student they provide upto 50000 scholarship and since 1 year they stared one program for those who get scholarship that they learn them personality development and all this things are free of cost.,6 years ago,Ahmehdabad,101550352724685039942,211,0.9412,positive
Cybage Software,5,"Good working culture, work life balance, good training provided by certified trainers.. CEO of company Mr Arun Nathani  is a very good person, his session and blog gives you good inspiration.",5 years ago,Ahmehdabad,110797502677204216523,38,0.9325,positive
Cybage Software,5,Very good company,a year ago,Ahmehdabad,115140292503605337465,26,0.4927,positive
IndiaNIC,1,"I recently had a interview for software engineer role. The interviewers don't know themselves what they are expecting. Even they were no flow of interview I felt like they are learning how to take interview of candidate and they wasting candidate time and effort.

I didn't get any response from them even negative. Atleast they should share some feedback to letting candidate know. They are silently ignoring us.",4 weeks ago,Ahmehdabad,116485685940624329116,2,-0.765,negative
IndiaNIC,5,"It's been 3 months since I've joined and I've to say that it's the best IT company with great corporate culture 😄 Really very helpful mentors healthy working environment and better growth opportunities.
Highly recommended for employees.
Got so many new things to learn.
Great organization👌🏻",5 months ago,Ahmehdabad,114517765011609825764,2,0.9816,positive
IndiaNIC,1,"I recently had an interview and unfortunately, my experience was less than satisfactory. Despite preparing thoroughly and investing significant time, I received no feedback following the interview. Constructive feedback is essential for candidates to understand their strengths and areas for improvement. The absence of communication reflects poorly on the company's candidate experience. I hope IndiaNIC will consider enhancing their interview process by providing timely and helpful feedback to future.",6 months ago,Ahmehdabad,111988660064525887679,3,0.8775,positive
IndiaNIC,1,"Don't Let IndiaNIC Fool You: My Epic Fail of a Tech Partnership

Hey everyone,

Let me tell you about the time I threw £16,000 down the drain with a company called IndiaNIC, dreaming of a sleek e-commerce site for my business, SIRRI. What a journey it's been - and not the fun kind. Imagine trusting Bhavin Batt and Kiran Jadav, the big names at IndiaNIC, only to end up with a website that's as functional as a chocolate teapot.

Promised a smooth ride and a project wrapped up in 6-12 months, I ended up on a never-ending carousel ride for over two years. And the prize? A website so broken, it's practically a digital wasteland. Every penny of the £13,000 development cost and the extra £3,000 on AWS servers felt like money tossed into a black hole.

I've got a treasure trove of chat histories and recordings that paint the real picture of what went down. It's like a saga of broken promises and shrugged shoulders when I asked for a refund or even just a path forward. They claimed they delivered; I say they delivered a mess.

After a grueling three years and jumping ship to another platform, I finally got what I was promised by someone else. So, what's the moral of the story? Run. Run far away from IndiaNIC and don't look back.

If you're on the hunt for a tech partner, my advice is to do your homework. Don't get dazzled by smooth talkers or fancy portfolios. Demand the real deal - proof of their successes, straight talk from past clients, and clear accountability.

I'm laying it all out here - not just to vent, but to hopefully save some of you from making the same mistake. If you're curious or even a bit skeptical about my story, I'm here with receipts. Chat logs, recordings - you name it. I'm an open book if it means helping someone else avoid this tech partnership pitfall.",9 months ago,Ahmehdabad,107644704693125537133,2,0.8855,positive
IndiaNIC,1,"Fraud company, they are wasting time of candidates. Their interviewer have less experience then candidate and they just passing time with candidate.

In my case I thik interviewer are just learning how to take interview. He did not follow any procedure. And after the interview just reject.

When I asked about rejection then HR Urja and Nikunj Patel (a mind less person) told me to reschedule this interview again.

I don't have time to wast on this fraud company.

Same on you guys.",a year ago,Ahmehdabad,106136080087246554740,4,-0.9531,negative
IndiaNIC,5,"Best offshore Software development & Services Company, with multiple locations in India, UAE, USA & Australia.

Very Professional & Nice HR Team & HR Management.",11 months ago,Ahmehdabad,112108625395744700121,15,0.8062,positive
IndiaNIC,5,"Great working culture, flexible and great environment. Getting back on track very quick. Almost all problems have been settled down, focusing on new big projects. The new business model is also creating great opportunity to attract the foreign clients. One very positive thing is top management specially (CEO) is not getting out of focus even during tough time of the company and their efforts started showing many positive things.

Core value is to relationship. It's people oriented company. The best example is company is ready to take back employees, i personally seen high ration of rejoin after spending few time with another companies. I feel proud to be a member of IndiaNIC family.",10 years ago,Ahmehdabad,107664085668053350803,1,0.9903,positive
IndiaNIC,5,"You love the company environment, and working style. They all are always ready to help each other. You get a chance to work with the latest technology and frameworks. Very experienced people handling projects and systems.",2 years ago,Ahmehdabad,105294692023203798926,36,0.886,positive
Infosys,5,Beautiful DC in The City Beautiful (Chandigarh). ❤️,a month ago,Chandigarh,114038296022600650755,66,0.8316,positive
Infosys,5,"Best office.suitated in Great area.
Infrastructure is also very good",3 months ago,Chandigarh,114193778511055378185,48,0.9099,positive
Infosys,5,It's beautiful with lots of flowers and fruits.. 😊,a year ago,Chandigarh,105772772461985684680,24,0.5994,positive
Infosys,4,Great place to chill after lunch! Also the Game zone here is a stress buster,6 years ago,Chandigarh,106725358290873648689,91,0.3802,positive
Infosys,5,One of the best campus of infosys. The facilities are well maintained from food court to workstation everything are well organised. Also the ECC (official accommodation) are well managed. People engaged in the ECC services are very supportive from receptionists to House keeping staff. Overall good experience.,a year ago,Chandigarh,105323108355234081188,15,0.9485,positive
Infosys,5,"Such a great place , immensely big campus with lots of facilities loaded .

Clean and green environment around ..",a year ago,Chandigarh,106542932923515568940,56,0.7783,positive
Infosys,5,It's soo lovely place and beautiful grounds..,3 years ago,Chandigarh,111502532216178148473,114,0.8271,positive
Infosys,5,It is the most amazing garden with variety of plants flowers surrounding and ultra modern swimming poop.it is maintained by professional gardeners..The hydroponics installed just amazes you..,5 years ago,Chandigarh,100354441757662945177,21,0.807,positive
Tech Mahindra,3,Good but there are lots of things which needs for the improvements. There are many things to highlighted but one thing which I hated the most HR team not supportive at all. They don’t know how to deal with new old employees whenever you visit them for any inquiry every time they said they don’t know about that,3 months ago,Chandigarh,116694420315145144120,35,-0.6407,negative
Tech Mahindra,4,"Best company in IT sector.
Tech Mahindra is a big organisation. It is a IT company. The services provided by Tech Mahindra is - outsourcing, voice process, non voice process and much more.And it also has the parking only employees can park the vehicle inside the building because there is a parking sticker needed for that.",a year ago,Chandigarh,109645432310319265675,4,0.6369,positive
Tech Mahindra,1,"My experience with this company has been extremely disappointing. I went through several rounds of interviews and tests, only to be told after a full day that I was selected. After spending significant time and money traveling for a 15-day training period, I attended for only 2 days before being informed that the training was on hold due to client dissatisfaction. The entire experience felt like a waste of time and resources. I would not recommend this company to anyone.",5 months ago,Chandigarh,101913307051527201394,1,-0.8076,negative
Tech Mahindra,1,One of the wrost company ever you hold my 4000 rupee when I left tha company why you not pay my money I left company in oct 24 but still did not get my full and final statement who's read this msg plz never join tech Mahindra Chandigarh branch wrost management worst everything now let's talk to Twitter,2 months ago,Chandigarh,116547830724749521101,3,-0.8118,negative
Tech Mahindra,4,It's a great place to work. More than 2200 employees working there. Its 24x7. Cafeteria is large in area.. Food availability is good. Safe company for new ones,4 years ago,Chandigarh,110688732770950865332,52,0.872,positive
Tech Mahindra,3,"The office was old style cubical.
The canteen was big but the food wasn't that good.
Parking to only  employees who have the parking card was only able to park.
Its mostly for BPO only for IT there sas less floors.",a year ago,Chandigarh,105851964987340394440,55,-0.4782,negative
Tech Mahindra,4,"This is a wcom company in which you can hire by walk in interview as well as online. Very good place to get a job and skills up your life growth.
This company is situated in chandigarh at IT park road near Manimanjra. This company is safe to work in free environment because it is  maintained by administration inside this building.

If you want to join please visit tech mahindra website or connect to employee there.",2 years ago,Chandigarh,112036522517621412547,106,0.9509,positive
Tech Mahindra,5,"It is easy to arrive at this place by autorickshaw from manimazra bus stop
But in return time, it is hard to find a bus , the Recital ask for much(4 times as much)money

Otherwise it is nice place, no entry without any permission,,, if you speak best English language then comes here for interview(after 12th, Diploma & graduation) for the call center job",5 years ago,Chandigarh,114331900213924223666,36,0.8151,positive
NetGains Technologies Pvt Ltd,5,"Hidden gem of a speakeasy. Not officially open for another week! We tried every cocktail on their menu over three consecutive evening - loved every one of them (and we drink a lot). Beautiful room. Cool soundtrack. Sweet and attentive staff. Worth effort to find them and get in. Rajeev, Rakshita, Tarun, Kumar, and Vipasha rock the cocktail world. Love to them!",3 weeks ago,Chandigarh,114622370367607544076,3,0.9627,positive
Net Solutions,1,"My experience with Net Solutions was nothing short of disappointing and frustrating. Despite clearly outlining the scope of work, they consistently failed to deliver on their promises. What's worse is their complete lack of accountability for their mistakes.

Throughout the project, I encountered numerous setbacks and issues, all of which were met with excuses and blame-shifting from Net Solutions. Despite being the paying client, I found myself constantly on the defensive, with Net Solutions refusing to acknowledge their shortcomings.

Not only did they fail to rectify the issues, but they also refused to provide a refund for their subpar services. It's clear that customer satisfaction and integrity are not priorities for Net Solutions.

Save yourself the headache and avoid Net Solutions at all costs. Their inability to deliver on their promises and their unwillingness to take responsibility for their mistakes make them a poor choice for any project.

Instead of reaching out to me directly to address the issues raised in my review, they decided to post false claims, trying to shift the blame onto us, the customer. This is exactly what they do—avoid taking responsibility and instead place the blame on the client. They do not hold themselves accountable for their own failures.

If you have a project that requires experienced, senior-level resources, stay far away from this company. They will mislead you, claiming they can handle it, only to fail in the end, and then accuse you, the customer, of causing the problems. Terrible company—do yourself a favor and find someone else",4 months ago,Chandigarh,102530946952326171097,3,-0.9673,negative
Net Solutions,4,A fancy building not wrong to say one of the prettiest offices in Chandigarh. You will make some good friends here. Salary credited on seventh of every month. This is located just near to Infosys technologies company office. This is good for people who don't want to work outside Chandigarh.,3 years ago,Chandigarh,104280174375691949394,242,0.9471,positive
Net Solutions,1,They call my company repeatedly even though we have told them to stop. When I did speak with them their employee was rude and pushy,3 months ago,Chandigarh,107402015522841730228,29,-0.743,negative
Net Solutions,1,"I don't know where this company got my information but they emailed my personal email address and called my personal cell phone number without my permission to try a sales pitch for my work. Even after emailing them back and asking them to stop emailing my personal email address, they started to call my personal cell phone number. Even after telling the caller multiple times for them to remove my personal phone number from their call list they still tried to keep trying their sales pitch. Unprofessional at best.",2 years ago,Chandigarh,100503001212009138434,4,0.2263,positive
Net Solutions,5,"Fantastic company! They make a great extension to any team - from design and conception through development and deployment. I'm very lucky to have had Net Solutions on my side for the past 5 years, and look forward to continuing our partnership for another 5 years and beyond!",10 years ago,Chandigarh,111893528130203198075,25,0.9198,positive
Net Solutions,5,"Pros -:
One of the finest company in Chandigarh.
Nice work culture.
Clear vision.
Good learning opportunities
Recognitions for Achievements - great & small
Flexibility to get into any domain if you have the guts.

Cons -:
Work Life balance is very bad because of the aggressive estimation.
There are still few people who feel that a resource should work under their thumb and not with them.",12 years ago,Chandigarh,116373377332704914964,1,0.9187,positive
Net Solutions,5,"I joined Net Solutions in July 2013 and I'm loving the highly challenging, innovative, and collaborative environment. One of the best organizations I've worked with.

Best things I like about Net Solutions - Honesty and Integrity, Transparency, Quality, Respect for the Individual, and Focus on the Customer.",11 years ago,Chandigarh,107590710692746367739,31,0.9837,positive
Net Solutions,1,"Despite of known among the leading firms in tricity, your recruitment process is awful. HR are not available at the point of contact and moreover they don't provide the feedback even after 4 days. Please make sure your hiring process is a little more professional.",3 years ago,Chandigarh,102573631775951140981,9,0.1531,positive
Netsmartz,1,"They're arrogant and rusty old guys and are super rigid and egoistic.
They have mentioned just lies on their website about flexibility and remote culture. There is no flexibility for women employees.
In all the 4 interview rounds, they asked questions like:
1. Who all are there in your family?
2. Are you married?
3. How many years have you been married?
4. Do you have any kids?
5. How many kids do you have?
6. What is the age of your kids? ... Blah Blah..

They don't mention anything on offer letter related to Rs 2 Lakhs indemnity-bond and you will get to know about this only on the day of joining which will create a confusion and feeling of betrayal, and if you continue with them, you can't even leave before 1.5 years.
If you raise any concern in those 1.5 years, they will listen to you but won't take any action on it because you have signed a Rs 2 Lakhs bond.

Also, their cafeteria is unhygienic and dirty. You will fall sick by having a meal there. Management doesn't pay any heed to any suggestions.

NOT RECOMMENDED. Please don't spoil your life by joining this company.

May God and Karma take care of them.",2 months ago,Chandigarh,118196677760223878676,2,-0.8218,negative
Netsmartz,5,"Aqlix IT Solutions, one of the most trusted names in the IT industry, is proud to operate from Netsmartz’ state-of-the-art office. With its advanced infrastructure and a passion for innovation, Aqlix is committed to delivering unmatched quality to its 1000+ SME & Enterprise customers worldwide.

Operating across 5 countries, Aqlix has established itself as a leader in building strong customer relationships, excelling in product development, and leveraging the expertise of highly skilled software developers. Our success rate speaks for itself — with Aqlix, 100% delivery success is not just a goal but a guarantee.

Choose Aqlix to optimize your IT solutions, elevate your digital presence, and drive success. Partner with Aqlix IT Solutions to experience the difference in quality, reliability, and innovation.
With Aqlix, the future of technology is here.",2 weeks ago,Chandigarh,109548263528953267354,7,0.987,positive
Netsmartz,4,Its located in Chandigarh IT park near INFOSYS. Good company to work for and learn. Employees used to take part in all the sports activities especially Night Football and Night Volleyball under flood lights.A little more emphasis on employee training will help.,6 years ago,Chandigarh,104280174375691949394,242,0.6808,positive
Netsmartz,4,"Great place for professionals specially for IT guys. Companies provide job in various profiles lile marketing, recruitment, developer, MIS, Accounting etc.",2 years ago,Chandigarh,104939609054703215394,51,0.6249,positive
Netsmartz,1,"Pathetic place to Work, Poor Management but yea Full Politics Environment, Too many late night siting even they call in weekends and National holidays for work. All old employees become Manager now who don't have work experience and don't have Management skills but yea they are perfect on argument with employees. They threatens to ruin your career.",10 months ago,Chandigarh,108095793010274861462,1,-0.7783,negative
Netsmartz,1,"The administrative staff could be more efficient. They destroyed the activa valves simply because it was in a prohibited area. If parking Activa wasn't permitted, they ought to have told us, at the very least stopped us, or demanded that we pay a fine. However, what they did was such an obnoxious act. Who will take the responsibility? Taking such drastic action that could endanger anyone's safety without communication is completely unacceptable.

Please place at least a sign saying ""No Parking"" in areas where parking two wheeler vehicle is prohibited. Second, be sure of the presence of security personnel who can inform the person. I am aware that the time they wasted cant be compensated. But however Mr.JAGNATH whatever the name was instructed the guards to do such rubbish act should apologize and consider my feedback. thanks!",2 years ago,Chandigarh,117758756967599504828,10,0.4423,positive
Netsmartz,3,Your experience with this company depends on manager and type of project you get there. Follow rules and regulations just to show that these are being followed to higher management.Work environment is good but involves lots of politics there. I wish you all the best.,6 years ago,Chandigarh,100615168725268355550,80,0.9062,positive
Netsmartz,4,This company is very fine than other companies in Tricity. They have very good project management system .  Friendly environment. Task are assigned according to you tech stack + you can enhance your skill if you have no project at some time. Overall a nice company.,5 years ago,Chandigarh,113774230510403645564,6,0.8437,positive
